year,month,day,time,region,ad,Total_Bytes
2018,4,14,11,fra,1,1473283326976
2018,4,14,12,fra,1,1467198792192
2018,4,14,13,fra,1,1467415320064
2018,4,14,14,fra,1,1472007070720
2018,4,14,15,fra,1,1472182102528
2018,4,14,16,fra,1,1475594700288
2018,4,14,17,fra,1,1475816860672
2018,4,14,18,fra,1,1475047137792
2018,4,14,19,fra,1,1475301629440
2018,4,14,20,fra,1,1473373956608
2018,4,14,21,fra,1,1473592043520
2018,4,14,22,fra,1,1469730027008
2018,4,14,23,fra,1,1478846057472
2018,4,15,0,fra,1,1479053110784
2018,4,15,1,fra,1,1482669244928
2018,4,15,2,fra,1,1482913750528
2018,4,15,3,fra,1,1477185184256
2018,4,15,4,fra,1,1477392167424
2018,4,15,5,fra,1,1476672505856
2018,4,15,6,fra,1,1476915345920
2018,4,15,7,fra,1,1477836396032
2018,4,15,8,fra,1,1478057719296
2018,4,15,9,fra,1,1480595422208
2018,4,15,10,fra,1,1480836137984
2018,4,15,11,fra,1,1477025411584
2018,4,15,12,fra,1,1477206281216
2018,4,15,13,fra,1,1477440985088
2018,4,15,14,fra,1,1483007029248
2018,4,15,15,fra,1,1483241737216
2018,4,15,16,fra,1,1481984169984
2018,4,15,17,fra,1,1482200328704
2018,4,15,18,fra,1,1482980359680
2018,4,15,19,fra,1,1483250077184
2018,4,15,20,fra,1,1489422104064
2018,4,15,21,fra,1,1489656676864
2018,4,15,22,fra,1,1484426202112
2018,4,15,23,fra,1,1484667656704
2018,4,16,0,fra,1,1478015224832
2018,4,16,1,fra,1,1478233878528
2018,4,16,2,fra,1,1462507845120
2018,4,16,3,fra,1,1482519916032
2018,4,16,4,fra,1,1482769431040
2018,4,16,5,fra,1,1485640473088
2018,4,16,6,fra,1,1485874265600
2018,4,16,7,fra,1,1489021853184
2018,4,16,8,fra,1,1488011714048
2018,4,16,9,fra,1,1485002941440
2018,4,16,10,fra,1,1494042060800
2018,4,16,11,fra,1,1493543549440
2018,4,16,12,fra,1,1493815691264
2018,4,16,13,fra,1,1491852439552
2018,4,16,14,fra,1,1493850511360
2018,4,16,15,fra,1,1494503676928
2018,4,16,16,fra,1,1496035441152
2018,4,16,17,fra,1,1496273828352
2018,4,16,18,fra,1,1499409117696
2018,4,16,19,fra,1,1499636859392
2018,4,16,20,fra,1,1498298827264
2018,4,16,21,fra,1,1498550747136
2018,4,16,22,fra,1,1495551186432
2018,4,16,23,fra,1,1495799248384
2018,4,17,0,fra,1,1502468514816
2018,4,17,1,fra,1,1502674866688
2018,4,17,2,fra,1,1502703107584
2018,4,17,3,fra,1,1502930234880
2018,4,17,4,fra,1,1503152064512
2018,4,17,5,fra,1,1500326795264
2018,4,17,6,fra,1,1500553596928
2018,4,17,7,fra,1,1501826966528
2018,4,17,8,fra,1,1502056492032
